City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Right Now,Country,Date
213,Sinegorye,62.0788,150.477,-7.33,99,100,4.07,light snow,RU,2022-01-31 23:47:16
214,Saint-Leu,-21.15,55.2833,77.86,78,87,14.41,overcast clouds,RE,2022-01-31 23:47:17
215,Chuy,-33.6971,-53.4616,63.1,63,22,9.1,few clouds,UY,2022-01-31 23:47:17
216,Elizabeth City,36.2946,-76.2511,43.02,81,0,8.05,clear sky,US,2022-01-31 23:47:17
217,San Marcos,33.1434,-117.1661,67.48,71,0,4.0,clear sky,US,2022-01-31 23:47:18
218,Banjar,-8.19,114.9675,82.26,80,95,2.17,overcast clouds,ID,2022-01-31 23:47:18
219,Tautira,-17.7333,-149.15,86.02,78,33,19.39,light rain,PF,2022-01-31 23:47:19
220,Labuhan,-6.8844,112.2051,79.07,84,100,5.99,overcast clouds,ID,2022-01-31 23:47:19
221,Shache,38.4167,77.2406,29.71,40,92,1.23,overcast clouds,CN,2022-01-31 23:47:20
222,Hirara,24.8,125.2833,64.67,63,75,9.22,broken clouds,JP,2022-01-31 23:47:20
223,Severo-Kurilsk,50.6789,156.125,29.05,74,100,21.43,light snow,RU,2022-01-31 23:47:20
224,Upernavik,72.7868,-56.1549,-19.12,99,94,6.87,overcast clouds,GL,2022-01-31 23:43:24
225,Matara,5.9485,80.5353,72.77,89,9,8.57,clear sky,LK,2022-01-31 23:47:21
226,Poya,-21.35,165.15,84.99,63,100,4.81,overcast clouds,NC,2022-01-31 23:45:28
227,Ariquemes,-9.9133,-63.0408,71.51,99,100,2.48,overcast clouds,BR,2022-01-31 23:47:22
228,Nurota,40.5614,65.6886,30.29,62,2,6.85,clear sky,UZ,2022-01-31 23:48:22
229,Esperance,-33.8667,121.9,64.24,57,87,16.89,overcast clouds,AU,2022-01-31 23:48:22
230,Kiboga,0.9161,31.7742,65.97,76,100,2.66,overcast clouds,UG,2022-01-31 23:48:23
231,Dawson Creek,55.7666,-120.2362,-0.76,71,75,6.91,broken clouds,CA,2022-01-31 23:45:07
232,Hovd,48.0056,91.6419,-13.43,81,32,1.25,scattered clouds,MN,2022-01-31 23:48:23
233,Krutinka,56.0055,71.5113,19.49,95,95,9.42,overcast clouds,RU,2022-01-31 23:48:24
234,Bystryy Istok,52.371,84.3873,9.03,95,100,1.77,overcast clouds,RU,2022-01-31 23:48:24
235,Hithadhoo,-0.6,73.0833,82.11,75,26,11.68,scattered clouds,MV,2022-01-31 23:48:24
236,Ulladulla,-35.35,150.4667,87.87,54,20,3.2,few clouds,AU,2022-01-31 23:48:25
237,Madison,34.7334,-86.5667,54.82,43,0,7.0,clear sky,US,2022-01-31 23:45:48
238,Wanaka,-44.7,169.15,78.12,36,100,3.0,overcast clouds,NZ,2022-01-31 23:44:10
239,Faanui,-16.4833,-151.75,81.05,72,6,21.18,light rain,PF,2022-01-31 23:48:26
240,Sorong,-0.8833,131.25,81.14,74,93,15.55,light rain,ID,2022-01-31 23:48:26
241,Vanavara,60.34,102.2797,-11.22,100,91,1.97,overcast clouds,RU,2022-01-31 23:48:26
242,Humaita,-7.5061,-63.0208,74.07,96,85,2.33,overcast clouds,BR,2022-01-31 23:48:27
243,Macae,-22.3708,-41.7869,75.07,100,0,0.0,clear sky,BR,2022-01-31 23:48:27
244,El Sauzal,31.9,-116.6833,59.41,79,95,2.68,overcast clouds,MX,2022-01-31 23:48:28
245,Starogard Gdanski,53.964,18.5264,28.87,100,48,8.99,scattered clouds,PL,2022-01-31 23:48:28
246,Noumea,-22.2763,166.4572,78.78,73,91,7.34,overcast clouds,NC,2022-01-31 23:47:17
247,Harindanga,22.0383,88.3214,60.78,85,40,1.61,scattered clouds,IN,2022-01-31 23:48:28
248,Chapais,49.7834,-74.8492,-11.42,99,79,3.04,broken clouds,CA,2022-01-31 23:48:29
249,Kant,27.8,79.8,49.96,77,0,4.54,clear sky,IN,2022-01-31 23:48:29
250,Ambon,-3.6954,128.1814,86.14,66,40,12.66,scattered clouds,ID,2022-01-31 23:48:30
251,Maridi,4.9158,29.4742,75.61,27,82,1.99,broken clouds,SS,2022-01-31 23:48:30
252,Clarence Town,-32.5833,151.7833,87.35,51,17,5.23,few clouds,AU,2022-01-31 23:48:31
253,Turukhansk,65.8167,87.9833,9.64,94,100,11.86,overcast clouds,RU,2022-01-31 23:48:31
254,Baglan,36.1307,68.7083,43.16,59,3,3.6,clear sky,AF,2022-01-31 23:48:31
255,Nanortalik,60.1432,-45.2371,25.61,81,100,16.84,light snow,GL,2022-01-31 23:48:32
256,Los Llanos De Aridane,28.6585,-17.9182,57.13,67,0,7.0,clear sky,ES,2022-01-31 23:48:32
257,Geraldton,-28.7667,114.6,72.01,56,3,20.71,clear sky,AU,2022-01-31 23:47:31
258,Ambilobe,-13.2,49.05,73.94,94,100,1.61,overcast clouds,MG,2022-01-31 23:47:13
